ISO3,Year,Users
AFG,2006,2.1071236455
ALB,2006,9.6099913158
DZA,2006,7.3759849563
ASM,2006, 
ADO,2006,48.9368469989
AGO,2006,1.9076475072
ATG,2006,30
ARG,2006,20.9272021036
ARM,2006,5.6317877773
ABW,2006,28
AUS,2006,66
AUT,2006,63.6
AZE,2006,11.9921773344
BHS,2006,26
BHR,2006,28.2439524318
BGD,2006,1
BRB,2006,55.3
BLR,2006,16.2
BEL,2006,59.72
BLZ,2006,24
BEN,2006,1.5378543462
BMU,2006,69.8996551617
BTN,2006,4.5183172582
BOL,2006,6.2006712547
BIH,2006,25.1223856852
BWA,2006,4.2899329752
BRA,2006,28.1783801798
VGB,2006, 
BRN,2006,42.1863491609
BGR,2006,27.09
BFA,2006,0.6327075645
BDI,2006,0.6575925904
CPV,2006,6.8089110075
KHM,2006,0.4683567201
CMR,2006,2.0287447915
CAN,2006,72.4
CYM,2006,44.5
CAF,2006,0.3111591732
TCD,2006,0.5810457642
CHI,2006, 
CHL,2006,34.4977511736
CHN,2006,10.5231526194
COL,2006,15.3416745366
COM,2006,2.2
ZAR,2006,0.2960536103
COG,2006,2.0079900794
CRI,2006,25.1
CIV,2006,1.5249007912
HRV,2006,37.98
CUB,2006,11.1596013148
CUW,2006, 
CYP,2006,35.83
CZE,2006,47.93
DNK,2006,86.65
DJI,2006,1.2700411592
DMA,2006,39.3981743035
DOM,2006,14.8449283655
ECU,2006,7.2
EGY,2006,13.66
SLV,2006,5.5
GNQ,2006,1.2791935964
ERI,2006, 
EST,2006,63.51
ETH,2006,0.3105926569
FRO,2006,69.3594451244
FJI,2006,9.6000384002
FIN,2006,79.66
FRA,2006,46.87
PYF,2006,25.1079642463
GAB,2006,5.4892008028
GMB,2006,5.2376911584
GEO,2006,7.5268768449
DEU,2006,72.16
GHA,2006,2.7231759731
GIB,2006,45.2986475118
GRC,2006,32.25
GRL,2006,59.3616872687
GRD,2006,21.3959911693
GUM,2006,43.8514430048
GTM,2006,6.5
GIN,2006,0.637492123
GNB,2006,2.0571967045
GUY,2006, 
HTI,2006,6.7960004805
HND,2006,7.8
HKG,2006,60.8
HUN,2006,47.06
ISL,2006,89.51
IND,2006,2.8054998653
IDN,2006,4.7648131337
IRN,2006,8.76
IRQ,2006,0.9523442438
IRL,2006,54.82
IMY,2006, 
ISR,2006,27.8810744577
ITA,2006,37.99
JAM,2006,16.4
JPN,2006,68.6852703214
JOR,2006,13.8671087882
KAZ,2006,3.2683690512
KEN,2006,7.5337897198
KIR,2006,4.5
PRK,2006,0
KOR,2006,78.1
KSV,2006, 
KWT,2006,28.791197955
KGZ,2006,12.3069069959
LAO,2006,1.1698934277
LVA,2006,53.63
LBN,2006,15
LSO,2006,2.9797081872
LBR,2006, 
LBY,2006,4.3010517891
LIE,2006,64.2141613631
LTU,2006,43.9
LUX,2006,72.51
MAC,2006,46.4
MKD,2006,28.62
MDG,2006,0.6075522389
MWI,2006,0.4251374896
MYS,2006,51.6379889864
MDV,2006,11.0363527829
MLI,2006,0.7296272808
MLT,2006,40.41
MHL,2006,3.7955902143
MRT,2006,0.9796612527
MUS,2006,16.7
MEX,2006,19.52
FSM,2006,12.7503392501
MDA,2006,19.6206477052
MCO,2006,61.4760397135
MNG,2006, 
MNE,2006,28.9
MAR,2006,19.7711915653
MOZ,2006,0.842954488
MMR,2006,0.1820483311
NAM,2006,4.3988706473
NRU,2006, 
NPL,2006,1.1413891639
NLD,2006,83.7
NCL,2006,33.5157146807
NZL,2006,69
NIC,2006,2.8055730627
NER,2006,0.2940339771
NGA,2006,5.545036083
MNP,2006, 
NOR,2006,82.55
OMN,2006,8.2997166725
PAK,2006,6.5
PLW,2006, 
PAN,2006,17.3495661696
PNG,2006,1.7544872607
PRY,2006,7.9620738839
PER,2006,20.7
PHL,2006,5.7405863253
POL,2006,44.58
PRT,2006,38.01
PRI,2006,25.4424182103
QAT,2006,28.9741127136
ROM,2006,24.66
RUS,2006,18.0232774617
RWA,2006, 
WSM,2006,4.4691738732
SMR,2006,50.2086593636
STP,2006,14.1820197775
SAU,2006,19.4595543514
SEN,2006,5.6117386522
SRB,2006,27.2
SYC,2006,34.9519711707
SLE,2006,0.2276694672
SGP,2006,59
SXM,2006, 
SVK,2006,56.08
SVN,2006,54.01
SLB,2006,1.6463479886
SOM,2006,1.1002163681
ZAF,2006,7.6071396748
SSD,2006, 
ESP,2006,50.37
LKA,2006,2.537566129
KNA,2006,38.5
LCA,2006,24.5
MAF,2006, 
VCT,2006,12
SDN,2006, 
SUR,2006,9.4996269417
SWZ,2006,3.6965387891
SWE,2006,87.76
CHE,2006,75.7
SYR,2006,7.8325515689
TJK,2006,3.7724062067
TZA,2006,1.3
THA,2006,17.1607147169
TMP,2006,0.1166282765
TGO,2006,2
TON,2006,5.8539440948
TTO,2006,30.0037485792
TUN,2006,12.9864086534
TUR,2006,18.24
TKM,2006,1.3195731181
TCA,2006, 
TUV,2006, 
UGA,2006,2.5293630383
UKR,2006,4.5061245636
ARE,2006,52
GBR,2006,68.82
USA,2006,68.93119327
URY,2006,29.4
UZB,2006,6.3883219671
VUT,2006,5.8505850585
VEN,2006,15.2247114772
VNM,2006,17.2545617187
VIR,2006,27.3326105376
WBG,2006,18.41
YEM,2006,1.247824049
ZMB,2006,4.1599133939
ZWE,2006,9.7918415019
