"0","summary(rent2_plmFE_0)
"
"1","Oneway (individual) effect "
"1","Within Model"
"1","
"
"1","
Call:
"
"1","plm(formula = rent ~ beds + baths + sqft, data = rent2, model = ""within"", 
"
"1","    index = ""hood"")
"
"1","
"
"1","Unbalanced Panel: "
"1","n=3, "
"1","T=92-111, "
"1","N=300
"
"1","
Residuals :
"
"1","    Min. "
"1"," 1st Qu. "
"1","  Median "
"1"," 3rd Qu. "
"1","    Max. "
"1","
"
"1","-215.000 "
"1"," -52.100 "
"1","  -0.166 "
"1","  51.400 "
"1"," 237.000 "
"1","
"
"1","
Coefficients :
"
"1","     "
"1","   Estimate"
"1"," Std. Error"
"1"," t-value"
"1","  Pr(>|t|)"
"1","    "
"1","
beds "
"1"," 147.669130"
"1","   3.278068"
"1"," 45.0476"
"1"," < 2.2e-16"
"1"," ***"
"1","
baths"
"1","  58.906263"
"1","   8.995549"
"1","  6.5484"
"1"," 2.591e-10"
"1"," ***"
"1","
sqft "
"1","   0.519638"
"1","   0.022144"
"1"," 23.4663"
"1"," < 2.2e-16"
"1"," ***"
"1","
"
"1","---
Signif. codes:  "
"1","0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1"
"1","
"
"1","
"
"1","Total Sum of Squares:    17018000
"
"1","Residual Sum of Squares: 1754700
"
"1","R-Squared:      0.89689
"
"1","Adj. R-Squared: 0.89514
"
"1","F-statistic: 852.474 on 3 and 294 DF, p-value: < 2.22e-16
"
